generated_at,casos_total,metric,completed,total,pct,target_pct,gap_pct,goal_met
2026-02-13T17:20:39.882960Z,43,FECHA_TAREA,3,43,7.0,60.0,-53.0,False
2026-02-13T17:20:39.882960Z,43,EXPEDIENTE,4,43,9.3,70.0,-60.7,False
2026-02-13T17:20:39.882960Z,43,EVENTO_FECHA_EVENTO,1,43,2.3,40.0,-37.7,False
2026-02-13T17:20:39.882960Z,43,COBERTURA_FINANCIERA,1,43,2.3,70.0,-67.7,False
